name,type,start_time,duration,"mosi","miso"
"SPI","result",24.16682608,0.00000236,0x00,0x01
"SPI","result",24.16682944,0.00000236,0x00,0x3E
"SPI","disable",24.16683246,0.00000002,,
"SPI","enable",24.17185056,0.00000002,,
"SPI","result",24.17185112,0.00000236,0x7F,0xFF
"SPI","result",24.17185436,0.00000236,0x00,0xFF
"SPI","disable",24.17185702,0.00000002,,
"SPI","enable",24.17185764,0.00000002,,
"SPI","result",24.1718581,0.00000234,0xF0,0xFF
"SPI","result",24.1718614,0.00000236,0x00,0x01
"SPI","result",24.17186476,0.00000236,0x00,0x5C
"SPI","disable",24.17186778,0.00000002,,
"SPI","enable",24.17688588,0.00000002,,
"SPI","result",24.17688644,0.00000234,0x7F,0xFF
"SPI","result",24.17688968,0.00000236,0x00,0xFF
"SPI","disable",24.17689234,0.00000002,,
"SPI","enable",24.17689296,0.00000002,,
"SPI","result",24.17689342,0.00000234,0xF0,0xFF
"SPI","result",24.17689672,0.00000236,0x00,0x01
"SPI","result",24.17690008,0.00000236,0x00,0x80
"SPI","disable",24.1769031,0.00000002,,
"SPI","enable",24.18192278,0.00000002,,
"SPI","result",24.18192342,0.00000236,0x7F,0xFF
"SPI","result",24.18192664,0.00000236,0x00,0xFF
"SPI","disable",24.1819293,0.00000002,,
"SPI","enable",24.18193002,0.00000002,,
"SPI","result",24.18193048,0.00000236,0xF0,0xFF
"SPI","result",24.18193394,0.00000236,0x00,0x01
"SPI","result",24.1819373,0.00000236,0x00,0xA4
"SPI","disable",24.18194032,0.00000002,,
"SPI","enable",24.18695652,0.00000002,,
"SPI","result",24.18695708,0.00000234,0x7F,0xFF
"SPI","result",24.18696032,0.00000236,0x00,0xFF
"SPI","disable",24.18696298,0.00000002,,
"SPI","enable",24.1869636,0.00000002,,
"SPI","result",24.18696404,0.00000236,0xF0,0xFF
"SPI","result",24.18696736,0.00000236,0x00,0x01
"SPI","result",24.18697072,0.00000236,0x00,0xC8
"SPI","disable",24.18697374,0.00000002,,
"SPI","enable",24.19199176,0.00000002,,
"SPI","result",24.19199232,0.00000234,0x7F,0xFF
"SPI","result",24.19199556,0.00000236,0x00,0xFF
"SPI","disable",24.19199822,0.00000002,,
"SPI","enable",24.19199884,0.00000002,,
"SPI","result",24.1919993,0.00000234,0xF0,0xFF
"SPI","result",24.1920026,0.00000236,0x00,0x01
"SPI","result",24.19200596,0.00000236,0x00,0xEC
"SPI","disable",24.19200898,0.00000002,,
"SPI","enable",24.1970271,0.00000002,,
"SPI","result",24.19702766,0.00000236,0x7F,0xFF
"SPI","result",24.19703092,0.00000236,0x00,0xFF
"SPI","disable",24.19703356,0.00000002,,
"SPI","enable",24.19703418,0.00000002,,
"SPI","result",24.19703464,0.00000236,0xF0,0xFF
"SPI","result",24.19703794,0.00000236,0x00,0x02
"SPI","result",24.1970413,0.00000236,0x00,0x0A
"SPI","disable",24.19704432,0.00000002,,
"SPI","enable",24.20206242,0.00000002,,
"SPI","result",24.20206298,0.00000236,0x7F,0xFF
"SPI","result",24.20206624,0.00000236,0x00,0xFF
"SPI","disable",24.20206888,0.00000002,,
"SPI","enable",24.2020695,0.00000002,,
"SPI","result",24.20206996,0.00000236,0xF0,0xFF
"SPI","result",24.20207326,0.00000236,0x00,0x02
"SPI","result",24.20207662,0.00000236,0x00,0x2E
"SPI","disable",24.20207964,0.00000002,,
"SPI","enable",24.20709774,0.00000002,,
"SPI","result",24.2070983,0.00000236,0x7F,0xFF
"SPI","result",24.20710156,0.00000234,0x00,0xFF
"SPI","disable",24.2071042,0.00000002,,
"SPI","enable",24.20710482,0.00000002,,
"SPI","result",24.20710528,0.00000236,0xF0,0xFF
"SPI","result",24.20710858,0.00000236,0x00,0x02
"SPI","result",24.20711194,0.00000236,0x00,0x52
"SPI","disable",24.20711496,0.00000002,,
"SPI","enable",24.21213466,0.00000002,,
"SPI","result",24.21213528,0.00000236,0x7F,0xFF
"SPI","result",24.21213852,0.00000234,0x00,0xFF
"SPI","disable",24.21214116,0.00000002,,
"SPI","enable",24.21214188,0.00000002,,
"SPI","result",24.21214234,0.00000236,0xF0,0xFF
"SPI","result",24.2121458,0.00000236,0x00,0x02
"SPI","result",24.21214916,0.00000236,0x00,0x76
"SPI","disable",24.21215218,0.00000002,,
"SPI","enable",24.21716826,0.00000002,,
"SPI","result",24.2171688,0.00000236,0x7F,0xFF
"SPI","result",24.21717206,0.00000236,0x00,0xFF
"SPI","disable",24.21717472,0.00000002,,
"SPI","enable",24.21717534,0.00000002,,
"SPI","result",24.21717578,0.00000236,0xF0,0xFF
"SPI","result",24.2171791,0.00000234,0x00,0x02
"SPI","result",24.21718246,0.00000234,0x00,0x9A
"SPI","disable",24.21718548,0.00000002,,
"SPI","enable",24.22220362,0.00000002,,
"SPI","result",24.22220418,0.00000236,0x7F,0xFF
"SPI","result",24.22220744,0.00000236,0x00,0xFF
"SPI","disable",24.22221008,0.00000002,,
"SPI","enable",24.2222107,0.00000002,,
"SPI","result",24.22221116,0.00000236,0xF0,0xFF
"SPI","result",24.22221446,0.00000236,0x00,0x02
"SPI","result",24.22221782,0.00000236,0x00,0xB8
"SPI","disable",24.22222084,0.00000002,,
"SPI","enable",24.22723896,0.00000002,,
"SPI","result",24.22723952,0.00000236,0x7F,0xFF
"SPI","result",24.22724278,0.00000236,0x00,0xFF
"SPI","disable",24.22724544,0.00000002,,
"SPI","enable",24.22724606,0.00000002,,
"SPI","result",24.2272465,0.00000236,0xF0,0xFF
"SPI","result",24.2272498,0.00000236,0x00,0x02
"SPI","result",24.22725316,0.00000236,0x00,0xDC
"SPI","disable",24.22725618,0.00000002,,
"SPI","enable",24.23227428,0.00000002,,
"SPI","result",24.23227484,0.00000236,0x7F,0xFF
"SPI","result",24.2322781,0.00000236,0x00,0xFF
"SPI","disable",24.23228076,0.00000002,,
"SPI","enable",24.23228138,0.00000002,,
"SPI","result",24.23228182,0.00000236,0xF0,0xFF
"SPI","result",24.23228512,0.00000236,0x00,0x03
"SPI","result",24.23228848,0.00000236,0x00,0x00
"SPI","disable",24.2322915,0.00000002,,
"SPI","enable",24.2373096,0.00000002,,
"SPI","result",24.23731016,0.00000236,0x7F,0xFF
"SPI","result",24.23731342,0.00000236,0x00,0xFF
"SPI","disable",24.23731608,0.00000002,,
"SPI","enable",24.2373167,0.00000002,,
"SPI","result",24.23731714,0.00000236,0xF0,0xFF
"SPI","result",24.23732044,0.00000236,0x00,0x03
"SPI","result",24.2373238,0.00000236,0x00,0x24
"SPI","disable",24.23732682,0.00000002,,
"SPI","enable",24.24234652,0.00000002,,
"SPI","result",24.24234714,0.00000236,0x7F,0xFF
"SPI","result",24.24235038,0.00000236,0x00,0xFF
"SPI","disable",24.24235304,0.00000002,,
"SPI","enable",24.24235376,0.00000002,,
"SPI","result",24.2423542,0.00000236,0xF0,0xFF
"SPI","result",24.24235766,0.00000236,0x00,0x03
"SPI","result",24.24236102,0.00000236,0x00,0x42
"SPI","disable",24.24236404,0.00000002,,
"SPI","enable",24.24738024,0.00000002,,
"SPI","result",24.2473808,0.00000236,0x7F,0xFF
"SPI","result",24.24738406,0.00000236,0x00,0xFF
"SPI","disable",24.2473867,0.00000002,,
"SPI","enable",24.24738732,0.00000002,,
"SPI","result",24.24738778,0.00000236,0xF0,0xFF
"SPI","result",24.24739108,0.00000236,0x00,0x03
"SPI","result",24.24739444,0.00000236,0x00,0x66
"SPI","disable",24.24739746,0.00000002,,
"SPI","enable",24.25241548,0.00000002,,
"SPI","result",24.25241604,0.00000236,0x7F,0xFF
"SPI","result",24.2524193,0.00000236,0x00,0xFF
"SPI","disable",24.25242196,0.00000002,,
"SPI","enable",24.25242258,0.00000002,,
"SPI","result",24.25242302,0.00000236,0xF0,0xFF
"SPI","result",24.25242632,0.00000236,0x00,0x03
"SPI","result",24.25242968,0.00000236,0x00,0x8A
"SPI","disable",24.2524327,0.00000002,,
"SPI","enable",24.25745084,0.00000002,,
"SPI","result",24.25745138,0.00000236,0x7F,0xFF
"SPI","result",24.25745464,0.00000236,0x00,0xFF
"SPI","disable",24.2574573,0.00000002,,
"SPI","enable",24.25745792,0.00000002,,
"SPI","result",24.25745836,0.00000236,0xF0,0xFF
"SPI","result",24.25746168,0.00000236,0x00,0x03
"SPI","result",24.25746504,0.00000236,0x00,0xAE
"SPI","disable",24.25746806,0.00000002,,
"SPI","enable",24.26248616,0.00000002,,
"SPI","result",24.2624867,0.00000236,0x7F,0xFF
"SPI","result",24.26248996,0.00000236,0x00,0xFF
"SPI","disable",24.26249262,0.00000002,,
"SPI","enable",24.26249324,0.00000002,,
"SPI","result",24.26249368,0.00000236,0xF0,0xFF
"SPI","result",24.262497,0.00000236,0x00,0x03
"SPI","result",24.26250036,0.00000236,0x00,0xD2
"SPI","disable",24.26250338,0.00000002,,
"SPI","enable",24.26752148,0.00000002,,
"SPI","result",24.26752202,0.00000236,0x7F,0xFF
"SPI","result",24.26752528,0.00000236,0x00,0xFF
"SPI","disable",24.26752794,0.00000002,,
"SPI","enable",24.26752856,0.00000002,,
"SPI","result",24.267529,0.00000236,0xF0,0xFF
"SPI","result",24.26753232,0.00000236,0x00,0x03
"SPI","result",24.26753568,0.00000236,0x00,0xF0
"SPI","disable",24.2675387,0.00000002,,
"SPI","enable",24.27255838,0.00000002,,
"SPI","result",24.27255902,0.00000236,0x7F,0xFF
"SPI","result",24.27256224,0.00000236,0x00,0xFF
"SPI","disable",24.2725649,0.00000002,,
"SPI","enable",24.27256562,0.00000002,,
"SPI","result",24.27256606,0.00000236,0xF0,0xFF
"SPI","result",24.27256954,0.00000236,0x00,0x04
"SPI","result",24.2725729,0.00000236,0x00,0x14
"SPI","disable",24.27257592,0.00000002,,
"SPI","enable",24.27759212,0.00000002,,
"SPI","result",24.27759266,0.00000236,0x7F,0xFF
"SPI","result",24.27759592,0.00000236,0x00,0xFF
"SPI","disable",24.27759858,0.00000002,,
"SPI","enable",24.2775992,0.00000002,,
"SPI","result",24.27759964,0.00000236,0xF0,0xFF
"SPI","result",24.27760296,0.00000234,0x00,0x04
"SPI","result",24.27760632,0.00000234,0x00,0x38
"SPI","disable",24.27760932,0.00000002,,
"SPI","enable",24.28262736,0.00000002,,
"SPI","result",24.2826279,0.00000236,0x7F,0xFF
"SPI","result",24.28263116,0.00000236,0x00,0xFF
"SPI","disable",24.28263382,0.00000002,,
"SPI","enable",24.28263444,0.00000002,,
"SPI","result",24.28263488,0.00000236,0xF0,0xFF
"SPI","result",24.2826382,0.00000236,0x00,0x04
"SPI","result",24.28264156,0.00000236,0x00,0x5C
"SPI","disable",24.28264458,0.00000002,,
"SPI","enable",24.2876627,0.00000002,,
"SPI","result",24.28766326,0.00000236,0x7F,0xFF
"SPI","result",24.2876665,0.00000236,0x00,0xFF
"SPI","disable",24.28766916,0.00000002,,
"SPI","enable",24.28766978,0.00000002,,
"SPI","result",24.28767024,0.00000234,0xF0,0xFF
"SPI","result",24.28767354,0.00000236,0x00,0x04
"SPI","result",24.2876769,0.00000236,0x00,0x80
"SPI","disable",24.28767992,0.00000002,,
"SPI","enable",24.29269802,0.00000002,,
"SPI","result",24.29269858,0.00000234,0x7F,0xFF
"SPI","result",24.29270182,0.00000236,0x00,0xFF
"SPI","disable",24.29270448,0.00000002,,
"SPI","enable",24.2927051,0.00000002,,
"SPI","result",24.29270554,0.00000236,0xF0,0xFF
"SPI","result",24.29270886,0.00000236,0x00,0x04
"SPI","result",24.29271222,0.00000236,0x00,0x9E
"SPI","disable",24.29271524,0.00000002,,
"SPI","enable",24.29773334,0.00000002,,
"SPI","result",24.2977339,0.00000234,0x7F,0xFF
"SPI","result",24.29773714,0.00000236,0x00,0xFF
"SPI","disable",24.2977398,0.00000002,,
"SPI","enable",24.29774042,0.00000002,,
"SPI","result",24.29774086,0.00000236,0xF0,0xFF
"SPI","result",24.29774418,0.00000236,0x00,0x04
"SPI","result",24.29774754,0.00000236,0x00,0xC2
"SPI","disable",24.29775056,0.00000002,,
"SPI","enable",24.30277032,0.00000002,,
"SPI","result",24.30277096,0.00000236,0x7F,0xFF
"SPI","result",24.30277418,0.00000236,0x00,0xFF
"SPI","disable",24.30277684,0.00000002,,
"SPI","enable",24.30277756,0.00000002,,
"SPI","result",24.30277802,0.00000236,0xF0,0xFF
"SPI","result",24.30278148,0.00000236,0x00,0x04
"SPI","result",24.30278484,0.00000236,0x00,0xE6
"SPI","disable",24.30278786,0.00000002,,
"SPI","enable",24.3078039,0.00000002,,
"SPI","result",24.30780446,0.00000234,0x7F,0xFF
"SPI","result",24.3078077,0.00000236,0x00,0xFF
"SPI","disable",24.30781036,0.00000002,,
"SPI","enable",24.30781098,0.00000002,,
"SPI","result",24.30781144,0.00000234,0xF0,0xFF
"SPI","result",24.30781474,0.00000236,0x00,0x05
"SPI","result",24.3078181,0.00000236,0x00,0x0A
"SPI","disable",24.30782112,0.00000002,,
"SPI","enable",24.31283916,0.00000002,,
"SPI","result",24.31283972,0.00000236,0x7F,0xFF
"SPI","result",24.31284298,0.00000236,0x00,0xFF
"SPI","disable",24.31284562,0.00000002,,
"SPI","enable",24.31284624,0.00000002,,
"SPI","result",24.3128467,0.00000236,0xF0,0xFF
"SPI","result",24.31285,0.00000236,0x00,0x05
"SPI","result",24.31285336,0.00000236,0x00,0x2E
"SPI","disable",24.31285638,0.00000002,,
"SPI","enable",24.31787448,0.00000002,,
"SPI","result",24.31787504,0.00000236,0x7F,0xFF
"SPI","result",24.3178783,0.00000236,0x00,0xFF
"SPI","disable",24.31788094,0.00000002,,
"SPI","enable",24.31788156,0.00000002,,
"SPI","result",24.31788202,0.00000236,0xF0,0xFF
"SPI","result",24.31788532,0.00000236,0x00,0x05
"SPI","result",24.31788868,0.00000236,0x00,0x4C
"SPI","disable",24.3178917,0.00000002,,
"SPI","enable",24.3229098,0.00000002,,
"SPI","result",24.32291036,0.00000236,0x7F,0xFF
"SPI","result",24.32291362,0.00000236,0x00,0xFF
"SPI","disable",24.32291626,0.00000002,,
"SPI","enable",24.32291688,0.00000002,,
"SPI","result",24.32291734,0.00000236,0xF0,0xFF
"SPI","result",24.32292064,0.00000236,0x00,0x05
"SPI","result",24.322924,0.00000236,0x00,0x70
"SPI","disable",24.32292702,0.00000002,,
"SPI","enable",24.32794512,0.00000002,,
"SPI","result",24.32794568,0.00000236,0x7F,0xFF
"SPI","result",24.32794894,0.00000236,0x00,0xFF
"SPI","disable",24.32795158,0.00000002,,
"SPI","enable",24.3279522,0.00000002,,
"SPI","result",24.32795266,0.00000236,0xF0,0xFF
"SPI","result",24.32795596,0.00000236,0x00,0x05
"SPI","result",24.32795932,0.00000236,0x00,0x94
"SPI","disable",24.32796234,0.00000002,,
